,0_x,1_x,2_x,3_x,4_x,5_x,6_x,7_x,8_x,9_x,10_x,11_x,12_x,13_x,14_x,15_x,16_x,17_x,18_x,19_x,0_y,1_y,2_y,3_y,4_y,5_y,6_y,7_y,8_y,9_y,10_y,11_y,12_y,13_y,14_y,15_y,16_y,17_y,18_y,19_y,20,21,22
0,,Fond,,,Kategori,Rating,1 år,Årlig avgift,Hållbarhet,Risk,,,,,,,,,,,,Fond,,,1 dag,1 vecka,1 mån,3 mån,i år,1 år,3 år,5 år,10 år,,,,,,,,,,
1,Köp,UB Asia REIT Plus A,UB Asia REIT Plus A,UB Asia REIT Plus A,,,"Branschfond, fastighetsbolag Asien",3/5,,-25.42,1.84, 20 20 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,UB Asia REIT Plus A,UB Asia REIT Plus A,UB Asia REIT Plus A,,,-0.61,0.67,3.12,-8.21,-24.14,-25.42,-2.33,23.48,75.61,, ,Expandera, , , , , 
2,Köp,UB EM Frontier Real Assets A Tillväxt,UB EM Frontier Real Assets A Tillväxt,UB EM Frontier Real Assets A Tillväxt,,,Övriga aktiefonder,-,–,-31.25,1.89, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UB EM Frontier Real Assets A Tillväxt,UB EM Frontier Real Assets A Tillväxt,UB EM Frontier Real Assets A Tillväxt,,,-1.23,-0.4,0.1,-12.67,-30.05,-31.25,–,–,–,, ,Expandera, , , , , 
3,Köp,UB EM Infra A,UB EM Infra A,UB EM Infra A,,,"Branschfond, infrastruktur",2/5,,-26.25,1.81, 29 29 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,UB EM Infra A,UB EM Infra A,UB EM Infra A,,,-0.49,1.05,1.21,-12.57,-27.54,-26.25,-12.87,5.57,53.28,, ,Expandera, , , , , 
4,Köp,UB Europa REIT A,UB Europa REIT A,UB Europa REIT A,,,"Branschfond, fastighetsbolag Europa",2/5,,-15.59,1.31, 16 16 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,UB Europa REIT A,UB Europa REIT A,UB Europa REIT A,,,-0.03,-0.5,0.23,-5.83,-24.1,-15.59,4.07,15.96,86.57,, ,Expandera, , , , , 
5,Köp,UB Global REIT A,UB Global REIT A,UB Global REIT A,,,"Branschfond, fastighetsbolag",2/5,,-23.22,1.49, 17 17 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,UB Global REIT A,UB Global REIT A,UB Global REIT A,,,-1.03,-0.07,0.8,-8.68,-26.33,-23.22,-3.84,9.94,74.97,, ,Expandera, , , , , 
6,Köp,UB Infra A,UB Infra A,UB Infra A,,,"Branschfond, infrastruktur",4/5,,-12.68,1.48, 26 26 av 100,Medel (5 av 7),, ,Expandera, , , , ,Köp,UB Infra A,UB Infra A,UB Infra A,,,-0.54,-0.13,0.37,-5.52,-15.01,-12.68,10.67,36.86,114.15,, ,Expandera, , , , , 
7,Köp,UB Pohjois-Amerikka REIT A,UB Pohjois-Amerikka REIT A,UB Pohjois-Amerikka REIT A,,,"Branschfond, fastighetsbolag USA",2/5,,-26.98,0.8, 18 18 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UB Pohjois-Amerikka REIT A,UB Pohjois-Amerikka REIT A,UB Pohjois-Amerikka REIT A,,,-0.01,-0.87,-0.93,-9.57,-27,-26.98,-2.51,19.04,–,, ,Expandera, , , , , 
8,Köp,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,,,"Hedgefond, valutahandel",-,–,-13.77,1.65,–,Hög (7 av 7),, ,Expandera, , , , ,Köp,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,UBS(Irl) Ccy Allc Ret Strat SEKH P Acc,,,-1.61,-1.4,1.26,-2.48,-13.57,-13.77,–,–,–,, ,Expandera, , , , , 
9,Köp,UBS (Lux) BF EUR Flexible P acc,UBS (Lux) BF EUR Flexible P acc,UBS (Lux) BF EUR Flexible P acc,,,"Ränte - euro obligationer, mix",4/5,,-2.26,0.97,–,Medel (4 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BF EUR Flexible P acc,UBS (Lux) BF EUR Flexible P acc,UBS (Lux) BF EUR Flexible P acc,,,-0.33,0.04,0.93,2.66,0.24,-2.26,20.42,26.65,55.09,, ,Expandera, , , , , 
10,Köp,UBS (Lux) BF Euro Hi Yld € P-acc,UBS (Lux) BF Euro Hi Yld € P-acc,UBS (Lux) BF Euro Hi Yld € P-acc,,,"Ränte - euro obligationer, högrisk",3/5,,-4.02,1.34,–,Medel (4 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BF Euro Hi Yld € P-acc,UBS (Lux) BF Euro Hi Yld € P-acc,UBS (Lux) BF Euro Hi Yld € P-acc,,,-0.47,0.26,1.48,2.2,-4.07,-4.02,11.83,27.57,86.71,, ,Expandera, , , , , 
11,Köp,UBS (Lux) BF Global Flex (EUR H) P acc,UBS (Lux) BF Global Flex (EUR H) P acc,UBS (Lux) BF Global Flex (EUR H) P acc,,,"Ränte - euro globala, valutasäkrade",5/5,,0.77,1.26,–,Medel (4 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BF Global Flex (EUR H) P acc,UBS (Lux) BF Global Flex (EUR H) P acc,UBS (Lux) BF Global Flex (EUR H) P acc,,,-0.27,0.02,0.5,1.71,2.68,0.77,21.25,29.13,51.17,, ,Expandera, , , , , 
12,Köp,UBS (Lux) BS-EUR Corporates B Akk,UBS (Lux) BS-EUR Corporates B Akk,UBS (Lux) BS-EUR Corporates B Akk,,,"Ränte - euro obligationer, företag",3/5,,-3.68,1.21, 25 25 av 100,Medel (3 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BS-EUR Corporates B Akk,UBS (Lux) BS-EUR Corporates B Akk,UBS (Lux) BS-EUR Corporates B Akk,,,-0.52,0.13,0.69,1.1,-1.39,-3.68,12.27,20.52,44.07,, ,Expandera, , , , , 
13,Köp,UBS (Lux) BS Global Dyn $ P-acc,UBS (Lux) BS Global Dyn $ P-acc,UBS (Lux) BS Global Dyn $ P-acc,,,"Ränte - dollar globala, flexibel, säkrade",4/5,,-5.24,1.47,–,Medel (4 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BS Global Dyn $ P-acc,UBS (Lux) BS Global Dyn $ P-acc,UBS (Lux) BS Global Dyn $ P-acc,,,-0.17,0.79,1.76,-2.24,-4.37,-5.24,32.9,30.84,–,, ,Expandera, , , , , 
14,Köp,UBS (Lux) BS-USD Corporates B Akk,UBS (Lux) BS-USD Corporates B Akk,UBS (Lux) BS-USD Corporates B Akk,,,"Ränte - dollar obligationer, företag",3/5,,-2.16,1.21, 26 26 av 100,Medel (4 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) BS-USD Corporates B Akk,UBS (Lux) BS-USD Corporates B Akk,UBS (Lux) BS-USD Corporates B Akk,,,-0.72,-0.39,-1.76,-1.82,-0.23,-2.16,30.32,35.12,92.25,, ,Expandera, , , , , 
15,Köp,UBS (Lux) EF Asian Consum (USD) P,UBS (Lux) EF Asian Consum (USD) P,UBS (Lux) EF Asian Consum (USD) P,,,"Branschfond, konsument",4/5,,10.37,2.1, 25 25 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Asian Consum (USD) P,UBS (Lux) EF Asian Consum (USD) P,UBS (Lux) EF Asian Consum (USD) P,,,0.71,-5.01,3.05,8.71,6.98,10.37,45.34,96.4,117.84,, ,Expandera, , , , , 
16,Köp,UBS (Lux) EF Biotech (USD) P-acc,UBS (Lux) EF Biotech (USD) P-acc,UBS (Lux) EF Biotech (USD) P-acc,,,"Branschfond, bioteknik",4/5,,16.12,2.1, 29 29 av 100,Hög (7 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Biotech (USD) P-acc,UBS (Lux) EF Biotech (USD) P-acc,UBS (Lux) EF Biotech (USD) P-acc,,,1.04,-3.54,-6.78,-7.97,-0.08,16.12,23.34,22.29,374.2,, ,Expandera, , , , , 
17,Köp,UBS (Lux) EF Canada (CAD) P-acc,UBS (Lux) EF Canada (CAD) P-acc,UBS (Lux) EF Canada (CAD) P-acc,,,Kanada,1/5,,-15.56,1.56, 23 23 av 100,Hög (6 av 7),, ,Expandera, , , , ,Köp,UBS (Lux) EF Canada (CAD) P-acc,UBS (Lux) EF Canada (CAD) P-acc,UBS (Lux) EF Canada (CAD) P-acc,,,1.25,-1.93,1.81,-2.24,-16.05,-15.56,6.28,16.81,22.41,, ,Expandera, , , , , 
